Fundo,CNPJ,ClassificacaoXP,ClassificacaoCVM,InicioFundo,PatrimonioLiquido,Benchmark,PLMedio12M,TaxaAdm,TaxaMaxAdm,TaxaPerformance
A1 Hedge Advisory FIC FIM,38.452.175/0001-02,Macro Alta Vol,Multimercado,2020-10-02,191694789.85,CDI,167144455.48,2.0,2.1,20.0
Dahlia Institucional Advisory FIC FIA,33.755.672/0001-66,Renda Variável Long Only Livre,Ações,2019-07-31,117572533.22,IBRX-100,85886401.28,1.85,2.5,20.0
Kapitalo Kappa Advisory FIC FIM,26.978.199/0001-10,Macro Alta Vol,Multimercado,2017-03-30,1756461591.66,CDI,1855512760.12,2.0,2.2,20.0
Trend Investback FIC FIRF Simples,37.910.132/0001-60,Referenciado DI,Renda Fixa,2020-09-03,8717075.58,CDI,2423645.78,,,
XP Crédito Estruturado 360 FIC FIM CP,27.227.796/0001-76,Crédito High Yield,Multimercado,2017-12-28,780743120.28,CDI,780625359.08,1.75,3.0,20.0
Verde AM Long Bias FIC FIA,23.243.536/0001-33,Renda Variável Long Biased,Ações,2017-02-21,382893655.04,IBOV,314378342.91,2.0,2.5,20.0
SPX Nimitz Gripen Advisory FIC FIM,24.193.691/0001-55,Macro Alta Vol,Multimercado,2016-06-24,1499529690.53,CDI,1370797132.98,0.7,2.3,20.0
SPX Falcon Armata Advisory FIC FIA,24.215.286/0001-90,Renda Variável Long Biased,Ações,2016-09-20,229943297.55,IPCA+6%a.a.,203962233.67,0.7,2.2,20.0
SPX Seahawk Advisory FIC RF CP LP,35.648.999/0001-64,Crédito High Grade,Renda Fixa,2019-12-31,157420190.27,CDI,78098478.78,0.6,1.2,20.0
JGP Max Advisory FIC FIM,28.648.924/0001-18,Macro Baixa Vol,Multimercado,2017-12-20,346420294.58,CDI,283663036.39,1.85,2.5,20.0
JGP Strategy Advisory FIC FIM,30.190.210/0001-50,Macro Média Vol,Multimercado,2019-02-11,1199273703.79,CDI,1096946849.06,1.85,2.5,20.0
JGP ESG Institucional Advisory FIC FIA,36.352.690/0001-95,Renda Variável Long Only Livre,Ações,2020-07-31,21441745.63,IBOVESPA,15701561.72,1.85,2.25,20.0
Trend DI Simples FIRF,32.893.503/0001-20,Referenciado DI Soberano,Renda Fixa,2019-10-07,5726797310.41,CDI,3220272277.94,,,
